Name,Album,Artist
Khad Tainu Main Dassa,Khad Tainu Main Dassa,Neha Kakkar
Laila,Laila,Tony Kakkar
Khyaal Rakhya Kar,Khyaal Rakhya Kar,Neha Kakkar
Shona Shona,Shona Shona,Tony Kakkar
Tera Suit,Tera Suit,Tony Kakkar
Number Likh,Number Likh,Tony Kakkar
Kanta Laga,Kanta Laga,Tony Kakkar
"Kurta Pajama (From ""Sangeetkaar"")","Kurta Pajama (From ""Sangeetkaar"")",Tony Kakkar
"Kanta Bai (From ""Sangeetkaar"")","Kanta Bai (From ""Sangeetkaar"")",Tony Kakkar
"Chocolate (From ""Sangeetkaar"")","Chocolate (From ""Sangeetkaar"")",Tony Kakkar
Goa Beach,Goa Beach,Tony Kakkar
Ludo,Tony Kakkar Dance Hits,Tony Kakkar
Nikle Currant,Nikle Currant,Jassie Gill
"Naagin Jaisi Kamar Hila - From ""Sangeetkaar""","Naagin Jaisi Kamar Hila (From ""Sangeetkaar"")",Tony Kakkar
"Maahi Ve (From ""Wajah Tum Ho"")",Best Of Neha Kakkar,Neha Kakkar
"Phone Mein Teri Photo (From ""Tuesdays & Fridays"")","Phone Mein Teri Photo (From ""Tuesdays & Fridays"")",Neha Kakkar
"Ashleel (From ""Tuesdays & Fridays"")","Ashleel (From ""Tuesdays & Fridays"")",Neha Kakkar
Aa Toh Sahi,Best Of Neha Kakkar 2017,Neha Kakkar
Bijli Ki Taar,Bijli Ki Taar,Tony Kakkar
Sorry Song,Sorry Song,Neha Kakkar
